Número,Categoría,Título,Norma y Artículo
13,"R2 - CONSENTIMIENTO, IDENTIFICACIÓN Y REPUDIO   ",Usar OTP para demostrar el control del WhatsApp y del correo electrónico   ,"Ley 6822/21, arts. 38(1), 61(f) y 68(1)(a)   "
14,"R2 - CONSENTIMIENTO, IDENTIFICACIÓN Y REPUDIO   ","Verificar identidad con cédula, frente y dorso, selfie en vivo y prueba de vida   ","Res. SEPRELAD 71/19, arts. 25(a-c), 26(1)(a-b) y 29(b)   "
15,"R2 - CONSENTIMIENTO, IDENTIFICACIÓN Y REPUDIO   ",Permitir la contratación exclusivamente por el propio asegurado   ,"Res. SEPRELAD 71/19, arts. 25-26; decisión operativa del producto   "
16,"R2 - CONSENTIMIENTO, IDENTIFICACIÓN Y REPUDIO   ","Generar el FIPF con datos personales, laborales, económicos y origen de fondos   ","Res. SEPRELAD 71/19, art. 26(1)(a-j)   "
17,"R2 - CONSENTIMIENTO, IDENTIFICACIÓN Y REPUDIO   ",Calcular automáticamente la edad desde la fecha de nacimiento   ,"Res. SEPRELAD 71/19, art. 26(1)(b-c); el cálculo automático es control interno   "
18,"R2 - CONSENTIMIENTO, IDENTIFICACIÓN Y REPUDIO   ",Preguntar si el cliente es PEP o está relacionado con una PEP   ,"Res. SEPRELAD 50/20, arts. 2-3; Res. SEPRELAD 71/19, art. 26(1)(j)   "
19,"R2 - CONSENTIMIENTO, IDENTIFICACIÓN Y REPUDIO   ","Derivar una respuesta PEP a análisis reforzado, sin rechazo automático   ","Res. SEPRELAD 50/20, art. 7. O UX: El fraude asume si no se obtiene la declaración o no puede completarse la debida diligencia   "
20,"R2 - CONSENTIMIENTO, IDENTIFICACIÓN Y REPUDIO   ","Presentar declaraciones médicas claras, completas y coherentes con el producto   ","Código Civil, arts. 1349-1354 y 1387; Res. SS SG. 215/15, anexo 1, numerales 11.2 y 11.11   "
21,"R2 - CONSENTIMIENTO, IDENTIFICACIÓN Y REPUDIO   ",Proteger especialmente las respuestas médicas y la información PEP   ,"Ley 4868/13, arts. 6(a) y 7(b); Res. SEPRELAD 71/19, art. 44   "
22,"R2 - CONSENTIMIENTO, IDENTIFICACIÓN Y REPUDIO   ","Vincular cédula, selfie, OTP y declaraciones al mismo expediente digital   ","Res. SEPRELAD 71/19, arts. 25(a) y 29(b); Ley 6822/21, arts. 43(3) y 66   "
23,R3 - INTEGRACIÓN DE PAGO CON BANCARD   ,Alianza Garantía será titular del vPOS y receptora del premio   ,"No existe un artículo que imponga esta estructura. Es una decisión comercial. Bancard queda bajo Ley 70/2020, arts. 3-4, y Res. BCP 25/21, arts. 1-4   "
24,R3 - INTEGRACIÓN DE PAGO CON BANCARD   ,"SeguroLoTengo no almacenará PAN completo, CVV ni credenciales de tarjeta   ","Res. BCP 25/21, art. 8, como estándar de seguridad del PSP, complementado contractualmente por PCI-DSS   "
25,R3 - INTEGRACIÓN DE PAGO CON BANCARD   ,El importe enviado a Bancard debe coincidir con el premio informado al cliente   ,"Ley 4868/13, art. 7(l); Ley 1334/98, art. 15(a); Res. BCP 25/21, arts. 5-6   "
26,R3 - INTEGRACIÓN DE PAGO CON BANCARD   ,Preautorizar tarjeta antes de firmar y efectuar la captura después   ,"No lo exige una ley respecto del contrato y capacidad técnica de Bancard; Código Civil, arts. 1373-1374, delimitan el efecto del pago   "
27,R3 - INTEGRACIÓN DE PAGO CON BANCARD   ,Ordenar la captura definitiva inmediatamente después de la firma del cliente   ,"Código Civil, arts. 1348, 1373 y 1374; el orden operativo concreto es un control interno   "
28,R3 - INTEGRACIÓN DE PAGO CON BANCARD   ,"En QR, permitir pago anterior a la firma e informar la condición y devolución   ","Ley 4868/13, arts. 7(m,p, q) y 30(c); el orden específico de QR es un control interno   "
29,R3 - INTEGRACIÓN DE PAGO CON BANCARD   ,"Enviar recordatorios de firma a 1, 5 y 12 horas   ",No existe un artículo que determine esos horarios   
30,R3 - INTEGRACIÓN DE PAGO CON BANCARD   ,Devolver el premio si el cliente no firma dentro del plazo comunicado   ,"Ley 4868/13, arts. 7(f), 17 y 30(b); Res. SS SG. 215/15, Anexo 1, numerales 8.4, 8.5 y 8.9   "
31,R3 - INTEGRACIÓN DE PAGO CON BANCARD   ,"Conservar ID, estado, fecha, hora, importe y referencia de la operación Bancard   ","Res. BCP 25/21, art. 6(a-e); Ley 6822/21, arts. 42(5) y 66   "
32,R3 - INTEGRACIÓN DE PAGO CON BANCARD   ,Implementar idempotencia para impedir cobros o eventos duplicados   ,"Ley 6822/21, art. 68(1), sobre duplicados; Res. BCP 25/21, art. 8. La implementación es interna   "
33,R3 - INTEGRACIÓN DE PAGO CON BANCARD   ,Incorporar la referencia Bancard en la póliza   ,"No es exigencia legal expresa. Si se incorpora, debe respetar el modelo registrado: Res. SS SG. 215/15, puntos 2 y 9   "
34,R4 - FIRMA ELECTRÓNICA MEDIANTE CODE100   ,El cliente firma electrónicamente la Solicitud de Seguro y el FIPF   ,"Ley 6822/21, arts. 38(1), 42(5) y 67-69; Res. SS SG. 215/15, anexo 1, numeral 11.15   "
35,R4 - FIRMA ELECTRÓNICA MEDIANTE CODE100   ,Cerrar los documentos antes de firmar y conservar sus huellas digitales   ,"Ley 6822/21, arts. 42(5), 61 y 66   "
36,R4 - FIRMA ELECTRÓNICA MEDIANTE CODE100   ,Utilizar un mismo enlace Code100 para firmar la Solicitud y el FIPF   ,"No es exigencia legal, es diseño del proceso. Debe mantener atribución conforme al art. 40 de la Ley 6822/21   "
37,R4 - FIRMA ELECTRÓNICA MEDIANTE CODE100   ,"Firmar en este orden: cliente primero; Interseguros y Alianza después, en paralelo   ",No existe un artículo que imponga ese orden   
38,R4 - FIRMA ELECTRÓNICA MEDIANTE CODE100   ,Interseguros firma la Solicitud de Seguro y el FIPF como intermediario   ,"Res. SS SG. 215/15, Anexo 1, numeral 11.15, contempla firma del agente/corredor o proponente. Firmar ambos documentos es decisión acordada   "
39,R4 - FIRMA ELECTRÓNICA MEDIANTE CODE100   ,Alianza firma la póliza mediante firma electrónica cualificada   ,"Res. SS SG. 215/15, art. 1; Ley 6822/21, arts. 38(2) y 43   "
40,R4 - FIRMA ELECTRÓNICA MEDIANTE CODE100   ,La factura electrónica será emitida por SIFEN y no firmada mediante Code100   ,"Ley 4868/13, arts. 31-32; Ley 125/91, art. 85; normativa SIFEN   "
41,R4 - FIRMA ELECTRÓNICA MEDIANTE CODE100   ,Establecer una vigencia de 24 horas para el enlace de firma Code100   ,"No es un plazo legal. Debe informarse conforme a Ley 4868/13, arts. 7(f), 7(n) y 7(r)   "
42,R4 - FIRMA ELECTRÓNICA MEDIANTE CODE100   ,"Conservar evidencia Code100: identidad, OTP, IP, fecha, hora, hash y resultado   ","Ley 6822/21, arts. 42(5), 66 y 68(3)   "
43,"R5 - ACEPTACIÓN, EMISIÓN Y PÓLIZA   ",Firma confirmada -> cobro -> envío a Alianza -> validación automática -> emisión   ,"Código Civil, arts. 1348 y 1373-1374, la orquestación concreta es un control interno   "
44,"R5 - ACEPTACIÓN, EMISIÓN Y PÓLIZA   ","Si falla el cobro, no solicitar la emisión automática   ","Código Civil, art. 1373; Ley 4868/13, arts. 7(e) y 7(p)   "
45,"R5 - ACEPTACIÓN, EMISIÓN Y PÓLIZA   ",Alianza realiza la aceptación y emisión en su calidad de aseguradora   ,"Código Civil, arts. 1348 y 1349; Ley 827/96, arts. 3 y 10-14; Res. SS SG. 215/15, arts. 1-2   "
46,"R5 - ACEPTACIÓN, EMISIÓN Y PÓLIZA   ",Utilizar un número de póliza de 18 dígitos numéricos   ,"Res. SS SG. 215/15, punto resolutivo 14   "
47,"R5 - ACEPTACIÓN, EMISIÓN Y PÓLIZA   ","Vincular póliza, Solicitud, FIPF, pago y firmas mediante correlativos o hashes   ","Res. SS SG. 215/15, punto 14; Ley 6822/21, arts. 44-46   "
48,"R5 - ACEPTACIÓN, EMISIÓN Y PÓLIZA   ",Incluir en la póliza todas las menciones obligatorias   ,"Código Civil, art. 1355; Res. SS SG. 215/15, punto 9(a-g) y Anexo 1, numerales 6.13.1-6.13.22   "
49,"R5 - ACEPTACIÓN, EMISIÓN Y PÓLIZA   ",No iniciar la cobertura antes de concluir válidamente el contrato   ,"Res. SS SG. 215/15, punto 8; Código Civil, art. 1348   "
50,"R5 - ACEPTACIÓN, EMISIÓN Y PÓLIZA   ",Iniciar cobertura 24 horas después de confirmarse el pago   ,"No es un plazo impuesto por ley, es condición del producto. Debe constar expresamente según Res. SS SG. 215/15, Anexo 1, numeral 6.13.14; Código Civil, art. 1374   "
51,"R5 - ACEPTACIÓN, EMISIÓN Y PÓLIZA   ",Incorporar en la póliza un mecanismo para verificar autenticidad   ,"Res. SS SG. 215/15, art. 5; Ley 6822/21, arts. 38(2) y 63   "
52,"R5 - ACEPTACIÓN, EMISIÓN Y PÓLIZA   ",No omitir Nota de Cobertura dentro de este producto   ,"No existe obligación de emitirla; Código Civil, art. 1371, admite instrumento provisional cuando corresponda, pero no la impone   "
53,"R6 - ENTREGA, DOCUMENTOS, FACTURA Y POSVENTA   ",El cliente elige y declara el correo o WhatsApp para recibir documentos   ,"Res. SS SG. 215/15, art. 4, primer párrafo; Ley 4868/13, art. 7(d)   "
54,"R6 - ENTREGA, DOCUMENTOS, FACTURA Y POSVENTA   ","Registrar evidencia de envío, recepción o puesta a disposición   ","Res. SS SG. 215/15, art. 4, tercer párrafo; Ley 6822/21, art. 70   "
55,"R6 - ENTREGA, DOCUMENTOS, FACTURA Y POSVENTA   ",Permitir descargar la Solicitud y el FIPF al finalizar   ,"Código Civil, art. 1356; Ley 4868/13, arts. 7(c) y 26(b); Ley 6822/21, art. 66   "
56,"R6 - ENTREGA, DOCUMENTOS, FACTURA Y POSVENTA   ",Entregar posteriormente la póliza y factura emitidas por Alianza y SEBAOT   ,"Póliza: Código Civil, art. 1355, y Res. SS SG. 215/15, art. 4. Factura: Ley 4868/13, arts. 31-32, y Ley 125/91, art. 85   "
57,"R6 - ENTREGA, DOCUMENTOS, FACTURA Y POSVENTA   ",Entregar copia física cuando el cliente lo solicite   ,"Res. SS SG. 215/15, art. 4, segundo párrafo   "
58,"R6 - ENTREGA, DOCUMENTOS, FACTURA Y POSVENTA   ",Facturar a nombre del asegurado con RUC o cédula suministrados por SeguroLoTengo   ,"Ley 2421/04 (IE), arts. 8 y 11. Que siempre coincida con el asegurado es decisión del proyecto   "
59,"R6 - ENTREGA, DOCUMENTOS, FACTURA Y POSVENTA   ",Emitir factura electrónica válida a través del SIFEN   ,"Ley 4868/13, arts. 31-32; Ley 125/91, art. 85; RG DNIT 01/24, art. 8   "
60,"R6 - ENTREGA, DOCUMENTOS, FACTURA Y POSVENTA   ","Mostrar contactos para reclamos, consultas y siniestros   ","Ley 4868/13, arts. 7(m) y 26(d); Res. SS SG. 215/15, Anexo 1, numerales 6.7-6.8   "
61,"R6 - ENTREGA, DOCUMENTOS, FACTURA Y POSVENTA   ",Pagar la indemnización por cáncer en 5 días hábiles desde el reclamo completo   ,"Condición más favorable del producto; Código Civil, art. 1591, fija para seguros de personas un máximo general de 15 días; Res. SS SG. 215/15, Anexo 1, numerales 6.1-6.6   "
62,"R6 - ENTREGA, DOCUMENTOS, FACTURA Y POSVENTA   ","Renta hospitalaria fija, mínimo 24 horas y máximo 15 días por vigencia   ","Condición registrada en producto; Res. SS SG. 215/15, punto 7 y Anexo 1, numerales 2, 6.1-6.6 y 6.13.4-6.13.14   "
63,"R6 - ENTREGA, DOCUMENTOS, FACTURA Y POSVENTA   ",Gastos médicos por accidente como reembolso documentado   ,"Condición del producto; Res. SS SG. 215/15, Anexo 1, numerales 6.1-6.6 y 6.13.8   "
64,"R7 - DESISTIMIENTO, CANCELACIÓN Y RENOVACIÓN   ",Informar el derecho de retracto aplicable a la venta electrónica   ,"Ley 4868/13, arts. 30(b) y 26(f); Ley 1334/98, arts. 26-27   "
65,"R7 - DESISTIMIENTO, CANCELACIÓN Y RENOVACIÓN   ",Explicar cancelación y metodología de devolución   ,"Ley 4868/13, arts. 7(m, p, q) y 30(c); Res. SS SG. 215/15, Anexo 1, numerales 8.4, 8.5 y 8.9   "
66,"R7 - DESISTIMIENTO, CANCELACIÓN Y RENOVACIÓN   ",Renovar anualmente únicamente con aceptación expresa del cliente   ,"Código Civil, arts. 1348, 1361 y 1363; Ley 1334/98, art. 28(l-m); Ley 4868/13, art. 7(r)   "
67,"R7 - DESISTIMIENTO, CANCELACIÓN Y RENOVACIÓN   ","Enviar avisos de renovación 15 días antes, 3 días antes y al vencimiento   ",No existe un artículo que establezca esos tres momentos   
68,"R7 - DESISTIMIENTO, CANCELACIÓN Y RENOVACIÓN   ",Confirmar la renovación mediante OTP   ,"Ley 6822/21, arts. 38(1), 61(f) y 66   "
69,"R7 - DESISTIMIENTO, CANCELACIÓN Y RENOVACIÓN   ",Preguntar por diagnóstico de cáncer y reclamos en la renovación   ,"Código Civil, arts. 1349-1354 y 1387, condiciones de suscripción del producto   "
70,"R7 - DESISTIMIENTO, CANCELACIÓN Y RENOVACIÓN   ",Mostrar el FIPF anterior precargado y modificar solamente los datos cambiados   ,"Res. SEPRELAD 71/19, arts. 25, 26(1), 26(4) y 28(a)   "
71,"R7 - DESISTIMIENTO, CANCELACIÓN Y RENOVACIÓN   ",Permitir el pago hasta 24 horas después del vencimiento   ,"No es plazo legal, debe estar registrado y comunicado; Código Civil, arts. 1373-1374; Res. SS SG. 215/15, Anexo 1, numerales 6.13.11 y 12.14   "
72,"R7 - DESISTIMIENTO, CANCELACIÓN Y RENOVACIÓN   ",Impedir la renovación cuando exista diagnóstico confirmado de cáncer   ,"Condición del producto; Res. SS SG. 215/15, punto 7 y Anexo 1, numerales 6.1-6.6   "
73,"R7 - DESISTIMIENTO, CANCELACIÓN Y RENOVACIÓN   ",Solicitar autorización opcional para publicidad en la pantalla final   ,"Ley 4868/13, arts. 20, 23 y 30(a)   "
74,"R7 - DESISTIMIENTO, CANCELACIÓN Y RENOVACIÓN   ",Incluir una opción sencilla y gratuita para dejar de recibir publicidad   ,"Ley 4868/13, arts. 22, 23(2) y 30(a)   "
75,"R8 - SEGURIDAD, CONSERVACIÓN Y AUDITORÍA   ","Registrar eventos de OTP, declaraciones, firma, pago, emisión y entrega   ","Ley 6822/21, arts. 42(5), 66 y 68(3); Res. SEPRELAD 71/19, arts. 43-44   "
76,"R8 - SEGURIDAD, CONSERVACIÓN Y AUDITORÍA   ",Conservar el expediente y las evidencias durante el plazo aplicable   ,"Res. SEPRELAD 71/19, arts. 43-44 (mínimo 5 años); Ley 6822/21, art. 66   "
77,"R8 - SEGURIDAD, CONSERVACIÓN Y AUDITORÍA   ","Generar un hash individual para Solicitud, FIPF y póliza   ","Ley 6822/21, arts. 42(5), 44 y 66. SHA-256 es la solución técnica, no una exigencia nominal de la ley   "
78,"R8 - SEGURIDAD, CONSERVACIÓN Y AUDITORÍA   ","Mantener infraestructura segura, respaldos, recuperación y evaluación de riesgos   ","Res. SS SG. 215/15, art. 10(a); Res. BCP 25/21, art. 8, respecto del proveedor de pagos   "
79,"R8 - SEGURIDAD, CONSERVACIÓN Y AUDITORÍA   ","Separar ambientes de producción y pruebas, junto con sus credenciales   ","No es prescripción explícita, es control derivado de Res. SS SG. 215/15, art. 8, y Res. BCP 25/21, art. 8   "
80,"R8 - SEGURIDAD, CONSERVACIÓN Y AUDITORÍA   ","Formalizar contratos con Code100, Bancard y demás proveedores, definiendo responsabilidades   ","Ley 4868/13, art. 17; Res. SEPRELAD 71/19, arts. 43-44, respecto de conservación y disponibilidad   "
81,"R8 - SEGURIDAD, CONSERVACIÓN Y AUDITORÍA   ",Implementar un procedimiento de gestión de incidentes y continuidad   ,"Res. SS SG. 215/15, art. 10(a); Res. BCP 25/21, art. 8(d)   "
82,"R8 - SEGURIDAD, CONSERVACIÓN Y AUDITORÍA   ",Validar la firma de webhooks e impedir repeticiones o duplicados   ,"Ley 6822/21, art. 68(1); Res. BCP 25/21, art. 8   "
83,"R8 - SEGURIDAD, CONSERVACIÓN Y AUDITORÍA   ",Restringir accesos mediante roles y registrar acciones administrativas   ,"Res. SS SG. 215/15, art. 8; Res. SEPRELAD 71/19, arts. 43-44; Res. BCP 25/21, art. 8   "
84,"R8 - SEGURIDAD, CONSERVACIÓN Y AUDITORÍA   ",Aplicar privacidad desde el diseño y minimización de datos   ,"Ley 4868/13, arts. 6(a) y 7(b); Constitución Nacional, arts. 33 y 36   "
85,"R8 - SEGURIDAD, CONSERVACIÓN Y AUDITORÍA   ",Informar el uso de cookies y permitir rechazar las no necesarias   ,"Ley 4868/13, art. 30(c)   "
